"","topic","term","beta"
"1",1,"labour",0.0237267050605354
"2",1,"production",0.0104557488973343
"3",1,"capital",0.0104336919064813
"4",1,"power",0.00814711718805717
"5",1,"social",0.00677223142488896
"6",2,"true",0.00878498080439127
"7",2,"sense",0.00742845577868746
"8",2,"theory",0.00670497576497877
"9",2,"language",0.00574137522947882
"10",2,"world",0.00498982918075556
"11",2,"truth",0.00498982918075556
"12",3,"god",0.0217091925398401
"13",3,"mind",0.0114258579689291
"14",3,"body",0.0102277995723181
"15",3,"soul",0.00755712772987277
"16",3,"nature",0.00716401481848479
"17",4,"madness",0.00888640492902547
"18",4,"language",0.00605535832383552
"19",4,"form",0.00574336543265133
"20",4,"difference",0.0052002666961455
"21",4,"representation",0.00431821271983462
"22",5,"price",0.0125061492872412
"23",5,"money",0.0100953028986472
"24",5,"labour",0.00928082776736543
"25",5,"capital",0.00868044324202059
"26",5,"country",0.00846169849247634
"27",6,"thou",0.0190154780748474
"28",6,"thy",0.0084187542102067
"29",6,"ye",0.00807585395988952
"30",6,"thee",0.00751172774162577
"31",6,"life",0.00699184671695133
"32",7,"socrates",0.0123110788842447
"33",7,"people",0.00964853865181279
"34",7,"soul",0.00774068669387972
"35",7,"city",0.00624942266347001
"36",7,"gods",0.00554907194473508
"37",8,"ideas",0.0190873793305799
"38",8,"idea",0.0129823651929987
"39",8,"mind",0.0106315838871485
"40",8,"reason",0.00612299586025658
"41",8,"nature",0.00596072177757661
"42",9,"world",0.0213748557118639
"43",9,"dasein",0.00826478451224996
"44",9,"consciousness",0.00737148312483812
"45",9,"knowledge",0.00648317224797049
"46",9,"sense",0.00620370365749527
"47",10,"woman",0.0215654159044496
"48",10,"women",0.020572539613264
"49",10,"love",0.00717942417460908
"50",10,"black",0.00580796915369082
"51",10,"life",0.00497223875031876
"52",11,"concept",0.0124378853219764
"53",11,"consciousness",0.00925513243353733
"54",11,"reason",0.00919645130038788
"55",11,"nature",0.00835256071890536
"56",11,"object",0.00815416260206675
"57",12,"animals",0.00779338184590087
"58",12,"motion",0.00605651715131072
"59",12,"body",0.0055242031030563
"60",12,"water",0.0055242031030563
"61",12,"nature",0.00475462907900849
"62",13,"time",0.0139430112428377
"63",13,"nature",0.00669222830924161
"64",13,"life",0.00534291970150866
"65",13,"reason",0.00520907824791577
"66",13,"hand",0.00472662649659257
